,id,conversation_id,date,username,tweet_processed,hashtags,tweet_original,target
544,945486310357291008,945486310357291008,2017-12-26,cccrazywolf,Today has been an emotional rollercoaster! I hope tomorrow is better! Today is the day I wish I had a friend's shoulder to cry on & in return they would baby me & make me feel better. Is that to much to ask?  ,"['#bestfriend', '#depressed']",Today has been an emotional rollercoaster! I hope tomorrow is better! Today is the day I wish I had a friend's shoulder to cry on & in return they would baby me & make me feel better. Is that to much to ask? #bestfriend #Depressed,1
545,945455678960922630,945455678960922630,2017-12-26,mrstarlights,Loo fisnesed half a bottle of brandy and the stream crashed and didnt realize lol fuck yall and and fuck christmas haha ,['#depressed'],Loo fisnesed half a bottle of brandy and the stream crashed and didnt realize lol fuck yall and and fuck christmas haha #depressed,1
553,945424928119119872,945424928119119872,2017-12-26,m_gunner90,Don't get  & Be  ...,"['#depressed', '#patient']",Don't get #depressed & Be #patient ...,1
559,945400727068954625,945400727068954625,2017-12-25,lemmon_1998,It feels like I have nothing to live for anymore  ,['#depressed'],It feels like I have nothing to live for anymore  #depressed,1
565,945373224258256896,945373224258256896,2017-12-25,laurabonnell,"Merry Christmas to me. Car is completely done. Of course it happens to me. 
At least I’m okay....  ","['#inshock', '#depressed']","Merry Christmas to me. Car is completely done. Of course it happens to me. 
At least I’m okay.... #inshock #depressed",1
568,945363902589820929,945363902589820929,2017-12-25,damron_justin,"So I see all these people  OR  on Christmas and I’m here like, I DIDNT GET SHIXT from my parents but life could definitely be worse atleast I have my supporters and my friends and my family! I’m still blessed
I still get to be with my family!","['#upset', '#depressed']","So I see all these people #UPSET OR #DEPRESSED on Christmas and I’m here like, I DIDNT GET SHIXT from my parents but life could definitely be worse atleast I have my supporters and my friends and my family! I’m still blessed
I still get to be with my family!",1
569,945360428212699136,945360428212699136,2017-12-25,hannahchan2010,"This is the 15th  I've spent without my mom, yet the pain feels fresh. I have never been this  on Christmas in all 15 years without her. Then again, this is my first Christmas as a married woman so maybe that's why.","['#christmas', '#depressed']","This is the 15th #Christmas I've spent without my mom, yet the pain feels fresh. I have never been this #depressed on Christmas in all 15 years without her. Then again, this is my first Christmas as a married woman so maybe that's why.",1
571,945353639534780417,945353639534780417,2017-12-25,nakovalnya_life,"All my  has been sucked by an inability to find a proper solution for a client work. I’m exhausted and getting .
 pic.twitter.com/fKrNYVqHxC","['#inspiration', '#depressed', '#artlife']","All my #inspiration has been sucked by an inability to find a proper solution for a client work. I’m exhausted and getting #depressed.
#artlife pic.twitter.com/fKrNYVqHxC",1
572,945350978055925760,945350978055925760,2017-12-25,vaginal_genious,Don't spend too much energy on a person that makes you ,['#depressed'],Don't spend too much energy on a person that makes you #depressed,1
575,945329330975940608,945329330975940608,2017-12-25,s3hunn13,Gusto kong sumigaw ng malakas na malakas tapos umiyak ng umiyak! 😔,['#depressed'],Gusto kong sumigaw ng malakas na malakas tapos umiyak ng umiyak! #Depressed😔,1
