,id,conversation_id,date,username,tweet_processed,hashtags,tweet_original,target
859,"1,07720049761285E+018","1,07720049761285E+018",2018-12-24,akasonkette,The worst feeling ever..😭😭😭 God help me. .,['#depressed'],The worst feeling ever..😭😭😭 God help me. #depressed.,1
862,"1,07718978438736E+018","1,07718978438736E+018",2018-12-24,jonathanvlogz1,Being honest I hate Xmas it's an excuse for People to drink and then agrue. It's all fake and the day after everything goes back to normal.  ,"['#depressed', '#christmas']",Being honest I hate Xmas it's an excuse for People to drink and then agrue. It's all fake and the day after everything goes back to normal. #depressed #Christmas,1
865,"1,07718519409912E+018","1,07718519409912E+018",2018-12-24,abdullahiguled," - Dear President, you in the Office for 5 More years, our lovely puntits will be ,  we can’t afford that, Hortaada hor Alle, Goodbye. And “Thanks” for the last 5 years  pic.twitter.com/wDVi0aSWnq","['#puntland', '#depressed']","#Puntland - Dear President, you in the Office for 5 More years, our lovely puntits will be #Depressed,  we can’t afford that, Hortaada hor Alle, Goodbye. And “Thanks” for the last 5 years  pic.twitter.com/wDVi0aSWnq",1
871,"1,07715971518711E+018","1,07715971518711E+018",2018-12-24,lowerdepression,"Dysthymia is a state of chronic  mood, the symptoms of which do not meet the severity of a major .","['#depressed', '#depressiveepisode']","Dysthymia is a state of chronic #depressed mood, the symptoms of which do not meet the severity of a major #depressiveepisode.",1
873,"1,07715570926174E+018","1,07715570926174E+018",2018-12-24,dinabeicon,did someone just forget my existence? :< ,['#depressed'],did someone just forget my existence? :< #depressed,1
876,"1,07714362761962E+018","1,07714362761962E+018",2018-12-24,jt_murtagh,Remember that Xmas after my parents divorce when I was drunk by 9:30am and everyone thought I was “fun”?? Nope.  and  (all is holly jolly now though),"['#depressed', '#stressed']",Remember that Xmas after my parents divorce when I was drunk by 9:30am and everyone thought I was “fun”?? Nope. #depressed and #stressed (all is holly jolly now though),1
882,"1,07713084731109E+018","1,07713084731109E+018",2018-12-24,supercaspeer,"Sinon certains ne fêtent pas ce machin hyper matérialiste pour x raisons et espèrent deux choses : 

- ne pas se noyer sous un torrent de pensées sombres 

- que cette  « journée festive » passe plus vite qu’une étoile filante un ciel d’été .     pic.twitter.com/MWue89BB1W","['#shitmas', '#screwyousanta', '#depressed']","Sinon certains ne fêtent pas ce machin hyper matérialiste pour x raisons et espèrent deux choses : 

- ne pas se noyer sous un torrent de pensées sombres 

- que cette  « journée festive » passe plus vite qu’une étoile filante un ciel d’été . #shitmas #screwyouSanta #depressed  pic.twitter.com/MWue89BB1W",1
884,"1,07712305209209E+018","1,07680760356758E+018",2018-12-24,jomdepaz,"ayaw niyo talaga makita na maligaya kaibigan niyo ih

",['#depressed'],"ayaw niyo talaga makita na maligaya kaibigan niyo ih

#depressed",1
886,"1,07711672492167E+018","1,07711672492167E+018",2018-12-24,poofypoof,"This is the worst time to be depressed😥 Everyone expects everything this time of year. Invites to axman party turned down, I buy gifts but to titired to wrap, pass out, so they pile up in my room, it's nothing but a Big Mind Fcuk ",['#depressed'],"This is the worst time to be depressed😥 Everyone expects everything this time of year. Invites to axman party turned down, I buy gifts but to titired to wrap, pass out, so they pile up in my room, it's nothing but a Big Mind Fcuk #depressed",1
891,"1,07709418102001E+018","1,07708122299882E+018",2018-12-24,chibi_tensai,"I hate myself. I hate everything but I hate everything about myself.

 ","['#depression', '#depressed']","I hate myself. I hate everything but I hate everything about myself.

#depression #depressed",1
893,"1,0770898445963E+018","1,0770898445963E+018",2018-12-24,gelkoowo,"~♫ if you work until 8pm clap your hands ♫~

*Clapping in tears*

 ","['#working', '#depressed']","~♫ if you work until 8pm clap your hands ♫~

*Clapping in tears*

#working #depressed",1
894,"1,07708385604033E+018","1,07708122299882E+018",2018-12-24,chibi_tensai,"I am forever stuck in this loop.

",['#depressed'],"I am forever stuck in this loop.

#depressed",1
897,"1,07706544590623E+018","1,07706544590623E+018",2018-12-24,alvanduckworth,"The one time of year I dread, the one time of year I hate!!!  I hate Christmas!!  Never feel more alone &  than when it’s Christmas time.",['#depressed'],"The one time of year I dread, the one time of year I hate!!!  I hate Christmas!!  Never feel more alone & #depressed than when it’s Christmas time.",1
902,"1,07705047174183E+018","1,07705047174183E+018",2018-12-24,officialkbr,I probably won't get cure. F*ck it just let me die alone 💔,['#depressed'],I probably won't get cure. F*ck it just let me die alone 💔#depressed,1
905,"1,07703748011595E+018","1,07703748011595E+018",2018-12-24,earnrobertson,Merry christmas motherfuckers! im  and . Celebrating the holidays correctly.,"['#drunk', '#depressed']",Merry christmas motherfuckers! im #drunk and #depressed. Celebrating the holidays correctly.,1
907,"1,07702531956194E+018","1,07702531956194E+018",2018-12-24,sharashino,"Sometimes I don’t even want to fuck you, I just want to lay down and cuddle   ","['#heart', '#bae', '#depressed']","Sometimes I don’t even want to fuck you, I just want to lay down and cuddle #heart #bae #depressed",1
