id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
885771467585187840,885771467585187840,1500019349000,2017-07-14,11:02:29,?aeianei? ?na GTB,767032548,irishglam_girl,The_Mystic_with_Lipstick,,Literally how I feel all the time lately...#depressed #overwhelmed #anxious pic.twitter.com/ICnUHLJlKB,[],[],[],0,0,0,"['#depressed', '#overwhelmed', '#anxious']",[],https://twitter.com/IrishGLAM_girl/status/885771467585187840,False,,1,,,,,,,"[{'user_id': '767032548', 'username': 'IrishGLAM_girl'}]",,,,
1086058932861317122,1086046783942344704,1547771602000,2019-01-18,02:33:22,?aeianei? ?na GTB,29431996,patricklsimpson,Patrick Simpson,,"12: Most Importantly though? I’ve struggled with Moderate depression/ptsd my entire life and I’m happy now.

Seriously, if you’re #Depressed or sad and feel hopeless...talk to your doctor or find a shrink or both. 

It might take some trial and error but just try it.",[],[],[],1,3,47,['#depressed'],[],https://twitter.com/patrickLSimpson/status/1086058932861317122,False,,0,,,,,,,"[{'user_id': '29431996', 'username': 'patrickLSimpson'}]",,,,
1056714943549063169,1056714943549063169,1540775450000,2018-10-29,03:10:50,?aeianei? ?na GTB,1055180073811230721,realjordansimon,Jordan Simon,,"Know the warning signs of suicide.

#SuicidePrevention #SuicideAwareness #depression #depressed #DepressionIsReal #mentalhealth pic.twitter.com/2qGb3GNXku",[],[],['https://pbs.twimg.com/media/Dqo0ch5WwAUmSwe.jpg'],3,6,12,"['#suicideprevention', '#suicideawareness', '#depression', '#depressed', '#depressionisreal', '#mentalhealth']",[],https://twitter.com/RealJordanSimon/status/1056714943549063169,False,,0,,,,,,,"[{'user_id': '1055180073811230721', 'username': 'RealJordanSimon'}]",,,,
1075516985939615745,1075516985939615745,1545258206000,2018-12-20,00:23:26,?aeianei? ?na GTB,1005448194476597248,mandytremmy,Mandy Tremelling,,"The Arts (all kinds: written, spoken, visual, etc) are over saturated with people who are #depressed and #anxious. 

I think I understand why. 

Every day we sit and create worlds which seem to be perfect. And we leave those worlds to live in one very Imperfect.
#WritingCommunity",[],[],[],0,1,2,"['#depressed', '#anxious', '#writingcommunity']",[],https://twitter.com/MandyTremmy/status/1075516985939615745,False,,0,,,,,,,"[{'user_id': '1005448194476597248', 'username': 'MandyTremmy'}]",,,,
1143157622943580162,1143157622943580162,1561384990000,2019-06-24,17:03:10,?aeianei? ?na GTB,406750558,moxiepie,Moxie,,#Depressed,[],[],[],0,0,0,['#depressed'],[],https://twitter.com/MoxiePie/status/1143157622943580162,False,,0,,,,,,,"[{'user_id': '406750558', 'username': 'MoxiePie'}]",,,,
249576630484353024,249576630484353024,1348338680000,2012-09-22,21:31:20,?aeianei? ?na GTB,18347002,clarissareverie,rissa,,It isn't even fair how beautiful some people are. #depressed,[],[],[],1,0,0,['#depressed'],[],https://twitter.com/clarissareverie/status/249576630484353024,False,,0,,,,,,,"[{'user_id': '18347002', 'username': 'clarissareverie'}]",,,,
208763775577358336,208763418642092033,1338608137000,2012-06-02,06:35:37,?aeianei? ?na GTB,467065308,lynn_f_word,Lost,,@NiallOfficial couldn't go ..:/ #depressed,['niallofficial'],[],[],0,0,0,['#depressed'],[],https://twitter.com/Lynn_f_word/status/208763775577358336,False,,0,,,,,,,"[{'user_id': '467065308', 'username': 'Lynn_f_word'}, {'user_id': '105119490', 'username': 'NiallOfficial'}]",,,,
945394790799151104,945394790799151104,1514234657000,2017-12-25,22:44:17,?aeianei? ?na GTB,481353768,betterwithoilz,J.G.,,"Everything that could go wrong this year, has. I ont know what to do or how to feel. #aloneforchristmas #depressed #seroiuslywhy #whatsnext",[],[],[],1,0,1,"['#aloneforchristmas', '#depressed', '#seroiuslywhy', '#whatsnext']",[],https://twitter.com/betterwithoilz/status/945394790799151104,False,,0,,,,,,,"[{'user_id': '481353768', 'username': 'betterwithoilz'}]",,,,
1086058932861317122,1086046783942344704,1547771602000,2019-01-18,02:33:22,?aeianei? ?na GTB,29431996,patricklsimpson,Patrick Simpson,,"12: Most Importantly though? I’ve struggled with Moderate depression/ptsd my entire life and I’m happy now.

Seriously, if you’re #Depressed or sad and feel hopeless...talk to your doctor or find a shrink or both. 

It might take some trial and error but just try it.",[],[],[],1,3,47,['#depressed'],[],https://twitter.com/patrickLSimpson/status/1086058932861317122,False,,0,,,,,,,"[{'user_id': '29431996', 'username': 'patrickLSimpson'}]",,,,
740263703539548160,740263703539548160,1465327595000,2016-06-07,22:26:35,?aeianei? ?na GTB,4213648994,davinalytle,Davina Lytle,,Interesting @DrArunShanti - thanks for the follow! #depressed  https://twitter.com/DrArunShanti/status/740191716368601088 …,[],['https://twitter.com/DrArunShanti/status/740191716368601088'],[],0,0,0,['#depressed'],[],https://twitter.com/davinalytle/status/740263703539548160,False,,0,,,,,,,"[{'user_id': '4213648994', 'username': 'davinalytle'}]",,,,
