id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1078690421700648960,1078690326594740224,1546014812000,2018-12-28,18:33:32,?aeianei? ?na GTB,717269822011088896,isgcpa_,I N G R I D 🐘,,I almost repeat a subject. I lost interest in doing the things I used to love. I couldn't explain all the emotional breakdowns I've been through this year. There are just moments where the only thing that's left for me to do is pray and let God do the healing.,[],[],[],1,0,0,[],[],https://twitter.com/isgcpa_/status/1078690421700648960,False,,0,,,,,,,"[{'user_id': '717269822011088896', 'username': 'isgcpa_'}]",,,,
1078293405929742337,1078292870736629760,1545920156000,2018-12-27,16:15:56,?aeianei? ?na GTB,1077453653877903361,amiemarrie,AJ,,"My mind and body are telling me to slow down. I’ve lost all interest in doing the things I used to think I HAD to do. Now all I care about is doing the things I need to do. For me, and I don’t feel bad about it anymore.",['audreykitching'],[],[],1,5,21,[],[],https://twitter.com/amiemarrie/status/1078293405929742337,False,,0,,,,,,,"[{'user_id': '1077453653877903361', 'username': 'amiemarrie'}, {'user_id': '27384388', 'username': 'AudreyKitching'}]",,,,
1075739594530975744,1075739594530975744,1545311280000,2018-12-20,15:08:00,?aeianei? ?na GTB,16876752,tonynoland,King of Tωitter,,"In November, I wrote 54,000 words for #nanowrimo2018. It's a good start on a first draft of a promising novel.

I have barely touched it since Nov 30. Not because I lost interest, but because I've spent December doing all the things I set aside in November to do NaNo.",[],[],[],2,0,5,['#nanowrimo2018'],[],https://twitter.com/TonyNoland/status/1075739594530975744,False,,0,,,,,,,"[{'user_id': '16876752', 'username': 'TonyNoland'}]",,,,
1075378926904664070,1075378926904664070,1545225290000,2018-12-19,15:14:50,?aeianei? ?na GTB,263170766,jsizemore76,John sizemore,,"@DavidArquette I REALLY don’t understand why people are being so damn judgmental about you doing things that you love. In my personal opinion, I lost interest in professional wrestling years ago, but who are we to say anything about what another person is passionate about doing.",['davidarquette'],[],[],1,0,0,[],[],https://twitter.com/Jsizemore76/status/1075378926904664070,False,,0,,,,,,,"[{'user_id': '263170766', 'username': 'Jsizemore76'}, {'user_id': '3185520522', 'username': 'DavidArquette'}]",,,,
1074545047662546944,1074545047662546944,1545026478000,2018-12-17,08:01:18,?aeianei? ?na GTB,350700243,musicalnut84,Azzie I,,"I identify with this a lot. I feel like I have lost all that vigor, and I seem to have lost interest in things that I used to love doing. I am slowly trying to get back into them but I don't know if I will ever get back there. Kinda worrying as I think I am still pretty young. 😩  https://twitter.com/Nichlim/status/1074543126339973120 …",[],['https://twitter.com/Nichlim/status/1074543126339973120'],[],0,0,0,[],[],https://twitter.com/MusicalNut84/status/1074545047662546944,False,https://twitter.com/Nichlim/status/1074543126339973120,0,,,,,,,"[{'user_id': '350700243', 'username': 'MusicalNut84'}]",,,,
1073393501310738432,1073393501310738432,1544751928000,2018-12-14,03:45:28,?aeianei? ?na GTB,1063255247475359744,f0xd3ad,D3AD_F0X,,"Been getting a little lazy doing things. Lost interest in 3 projects already by today... Specifically since one of my friends have the possibility to be moving soon. Anyway, I'm gonna be focused on a few main projects, so don't worry about those.",[],[],[],0,0,0,[],[],https://twitter.com/F0xD3ad/status/1073393501310738432,False,,0,,,,,,,"[{'user_id': '1063255247475359744', 'username': 'F0xD3ad'}]",,,,
1072066608770805760,1072066608770805760,1544435572000,2018-12-10,11:52:52,?aeianei? ?na GTB,295025002,givenchym_,Give and take 💪,,"I did and lost interest in her,that's how things ended.not doing that again in future 😢  https://twitter.com/_LebzaMokebe/status/1072063976714964993 …",[],['https://twitter.com/_LebzaMokebe/status/1072063976714964993'],[],0,2,1,[],[],https://twitter.com/GivenchyM_/status/1072066608770805760,False,https://twitter.com/_LebzaMokebe/status/1072063976714964993,0,,,,,,,"[{'user_id': '295025002', 'username': 'GivenchyM_'}]",,,,
1071739379628957697,1071739379628957697,1544357554000,2018-12-09,14:12:34,?aeianei? ?na GTB,3260118638,hoxeokie,kris //,,ive been feeling a lil bit down lately because i realised that i dont enjoy doing some things??? like ive jst lost interest in so many things and its sad because i remember it made me so Happy but yea anyway thats depression for ya i guess,[],[],[],7,11,107,[],[],https://twitter.com/hoxeokie/status/1071739379628957697,False,,0,,,,,,,"[{'user_id': '3260118638', 'username': 'hoxeokie'}]",,,,
1071405706602000384,1071405706602000384,1544278000000,2018-12-08,16:06:40,?aeianei? ?na GTB,986016048204873729,babylmdying,super sad™,,How am I supposed to answer depression quiz questions where they ask if you've lost interest in things when like.... I'm seriously not doing anything... like when they ask if you can't concentrate... I'm like.... I have nothing to concentrate on????,[],[],[],0,0,0,[],[],https://twitter.com/BabylmDying/status/1071405706602000384,False,,0,,,,,,,"[{'user_id': '986016048204873729', 'username': 'BabylmDying'}]",,,,
1071049879701471232,1071049879701471232,1544193165000,2018-12-07,16:32:45,?aeianei? ?na GTB,1067780450800685058,jjin_nie,♏,,I never knew I can lost interest in things I used to love doing.,[],[],[],0,0,0,[],[],https://twitter.com/jjin_nie/status/1071049879701471232,False,,0,,,,,,,"[{'user_id': '1067780450800685058', 'username': 'jjin_nie'}]",,,,
