id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1079883031748534273,1079883030813134848,1546299152000,2019-01-01,01:32:32,?aeianei? ?na GTB,1237190725,vagabond_punk,Kayl,,"I was diagnosed with PTSD. That being said, there is a stigma that says people who work in the medical field cannot get PTSD. That we should be used to this or know what to expect but this is a lie. It's a stigma that even I believed. And I still struggle with believing this lie.",[],[],[],1,0,3,[],[],https://twitter.com/Vagabond_Punk/status/1079883031748534273,False,,0,,,,,,,"[{'user_id': '1237190725', 'username': 'Vagabond_Punk'}]",,,,
1079871840091279360,1079871838086488064,1546296484000,2019-01-01,00:48:04,?aeianei? ?na GTB,1047205350473183233,onedaybangtan,𝚜𝚑𝚒𝚘𝚗_ ((ia)),,"I did a lot that I regret but I no longer know if I'm going to repeat. I know I'm young, yet I've attempted a bunch. It was the year I was diagnosed with ptsd and depression, and also the year that I was going to end it all. I don't want to bring anyone down, but I'm dreading it.",[],[],[],1,0,0,[],[],https://twitter.com/onedaybangtan/status/1079871840091279360,False,,0,,,,,,,"[{'user_id': '1047205350473183233', 'username': 'onedaybangtan'}]",,,,
1079859999688609793,1079859999688609793,1546293661000,2019-01-01,00:01:01,?aeianei? ?na GTB,631034539,alicebiscuit,Alice Biscuit,,"Thank you so much for this past year. Seriously.

Last NYE was a very dark time for me. I was having a serious eating disorder relapse, and diagnosed with PTSD after a horrific experience. I didn't expect (or want) to live out this year.

I'm *incredibly* glad to still be here.  pic.twitter.com/AxiIQ7xHcR",[],[],[],19,1,82,[],[],https://twitter.com/AliceBiscuit/status/1079859999688609793,False,,1,,,,,,,"[{'user_id': '631034539', 'username': 'AliceBiscuit'}]",,,,
1079842787414163457,1079762351266648065,1546289557000,2018-12-31,22:52:37,?aeianei? ?na GTB,767032548,irishglam_girl,The_Mystic_with_Lipstick,,I would say it's a tie between The Greatest Showman and Bohemian Rhapsody and here is why: back in Nov of 2017 I was diagnosed with PTSD. This has been the hardest year in my life. Everything has changed except for one thing: music. Music is like the best friend you ever had..1/3,['hitrecordjoe'],[],[],2,0,0,[],[],https://twitter.com/IrishGLAM_girl/status/1079842787414163457,False,,0,,,,,,,"[{'user_id': '767032548', 'username': 'IrishGLAM_girl'}, {'user_id': '24807616', 'username': 'hitRECordJoe'}]",,,,
1079827760111968256,1075510711483228160,1546285974000,2018-12-31,21:52:54,?aeianei? ?na GTB,19053096,highjackflash,The Ghost Head👻,,"I was diagnosed with CRPS two years ago on my 40th birthday. The opiate rug was just pulled out from underneath me, as well as the benzodiazepine rug I’ve been on for “treatment” of PTSD and I’m actually grateful. 
Now, I just need to find a good guide. I’ve been there many times",['khaliya'],[],[],0,0,0,[],[],https://twitter.com/HighJackFlash/status/1079827760111968256,False,,0,,,,,,,"[{'user_id': '19053096', 'username': 'HighJackFlash'}, {'user_id': '898058054', 'username': 'Khaliya'}]",,,,
1079822283345145856,1079787276526211078,1546284669000,2018-12-31,21:31:09,?aeianei? ?na GTB,4704903234,faithfortune99,Sanders Democrat #Bernie2020 #NotMeUs,,I was diagnosed with severe PTSD and am finally getting the help I need after decades of suffering. Lexapro has made me not-suicidal for the first time in 30+ years. Now I'm investing in my health and education and feeling good.,['annewheaton'],[],[],0,0,1,[],[],https://twitter.com/FaithFortune99/status/1079822283345145856,False,,0,,,,,,,"[{'user_id': '4704903234', 'username': 'FaithFortune99'}, {'user_id': '341218443', 'username': 'AnneWheaton'}]",,,,
1079804233933701120,1079804233933701120,1546280365000,2018-12-31,20:19:25,?aeianei? ?na GTB,82264670,savmccarter,𝚂𝚊𝚟𝚊𝚗𝚗𝚊𝚑 𝙼𝚌𝙲𝚊𝚛𝚝𝚎𝚛✨,,"My life in 2018. A thread.
Lived in 4 different homes.
Got black mold rashes and had to move into parents house.
Diagnosed with PTSD.
Supposed to get married but that didn’t happen.
Suicidal.
Gained weight.
Deepest depression I’ve ever felt to the point that I was questioning",[],[],[],1,0,3,[],[],https://twitter.com/savmccarter/status/1079804233933701120,False,,0,,,,,,,"[{'user_id': '82264670', 'username': 'savmccarter'}]",,,,
1079763281718333443,1079763281718333443,1546270602000,2018-12-31,17:36:42,?aeianei? ?na GTB,839117971859480576,flowerandiamond,Sayang,,"2018 --

Met someone who I thought will be the last one. The love of my life. Turn out i was wrong. He's not the one.

Diagnosed with mild depression and PTSD.

Get a job and then get out of the job.

My grandfather passed away.

Get back to business n get new business partner.",[],[],[],1,0,0,[],[],https://twitter.com/flowerandiamond/status/1079763281718333443,False,,0,,,,,,,"[{'user_id': '839117971859480576', 'username': 'flowerandiamond'}]",,,,
1079753014901198849,1079279808545214464,1546268154000,2018-12-31,16:55:54,?aeianei? ?na GTB,417991584,deangolding1,deangolding,,"I know how you feel @SnowAndBeach 
My year was great till July, then spent 3 weeks in @GSTTnhs including 2 O/P appointments.
Just before Xmas my mum's health got worse, I was diagnosed with PTSD after 16 yrs, then got a call to say that a family friend died #ShitNewYearStarted","['snowandbeach', 'gsttnhs']",[],[],0,0,1,['#shitnewyearstarted'],[],https://twitter.com/deangolding1/status/1079753014901198849,False,,0,,,,,,,"[{'user_id': '417991584', 'username': 'deangolding1'}, {'user_id': '733003963994415108', 'username': 'SnowAndBeach'}, {'user_id': '561014615', 'username': 'GSTTnhs'}]",,,,
1079714043814924288,1079714043814924288,1546258862000,2018-12-31,14:21:02,?aeianei? ?na GTB,13158172,tomfearn,Tom Fearn,,"18 months ago I was diagnosed with PTSD. One of the side effects is uncontrollable tremors. I can't hold objects, write, even walk properly at times. I'm undergoing tests for #parkinsons, but this video gives everyone with #parkinsons hope: https://youtu.be/R6rAlFYDffQ ",[],['https://youtu.be/R6rAlFYDffQ'],[],4,0,1,"['#parkinsons', '#parkinsons']",[],https://twitter.com/tomfearn/status/1079714043814924288,False,,0,,,,,,,"[{'user_id': '13158172', 'username': 'tomfearn'}]",,,,
