,id,conversation_id,date,username,tweet_processed,hashtags,tweet_original,target
2446,946103725717839873,946103725717839873,2017-12-27,robaaronmusic,Bottom line. There is always . To change things. To do what you love. To be who you were meant to be.  is a lie!,"['#hope', '#hopelessness']",Bottom line. There is always #hope. To change things. To do what you love. To be who you were meant to be. #Hopelessness is a lie!,1
2456,945110561339133952,945016373603983371,2017-12-25,timbussey2,My favorite ‘F’ bombs are food and fun. And if you get angry with the Panthers...try being a Browns fan.  ,"['#hopelessness', '#factoryofsadness']",My favorite ‘F’ bombs are food and fun. And if you get angry with the Panthers...try being a Browns fan. #Hopelessness #FactoryOfSadness,1
2471,943773919542091777,943773919542091777,2017-12-21,sunishjauhari,"C corrupted, A benefitted and financed C. B, the master-mind, blew it up, C lost the game, R paid the price, jailed, B became maha-Raja and greedy for power, so set R free to win R’s supporters. A is now B’s need. And B knows it. Language failed us. ",['#hopelessness'],"C corrupted, A benefitted and financed C. B, the master-mind, blew it up, C lost the game, R paid the price, jailed, B became maha-Raja and greedy for power, so set R free to win R’s supporters. A is now B’s need. And B knows it. Language failed us. #hopelessness",1
2481,942762751692361729,942762751692361729,2017-12-18,flydreadmon,There is no end to crime in Jamaica. Everyday at least 5 youths are thrown in the back of police pickups like meat!,['#hopelessness'],There is no end to crime in Jamaica. Everyday at least 5 youths are thrown in the back of police pickups like meat!#hopelessness,1
2492,941175599124512768,941175599124512768,2017-12-14,laumansi,I go out of my way to make feel others special because I know how it feels to be worthless   ,"['#depression', '#worthless', '#hopelessness']",I go out of my way to make feel others special because I know how it feels to be worthless #depression #worthless #hopelessness,1
2499,940651551563157507,940651551563157507,2017-12-12,sheemamehkar,It's so heart breaking to see school kids being slaughtered & young officers depart. No parents deserve to outlive their children. No family deserve this tragedy. Yet nothing seems to move us. This country has lost its best men to this madness & it's still not over.   pic.twitter.com/vTptkdA1Ds,['#hopelessness'],It's so heart breaking to see school kids being slaughtered & young officers depart. No parents deserve to outlive their children. No family deserve this tragedy. Yet nothing seems to move us. This country has lost its best men to this madness & it's still not over. #Hopelessness  pic.twitter.com/vTptkdA1Ds,1
2509,939576914506801152,939576914506801152,2017-12-09,murfymans5,"Listening, looking and feeling the  of your parents in you is the worst kind of ","['#hopelessness', '#discouragement']","Listening, looking and feeling the #Hopelessness of your parents in you is the worst kind of #Discouragement",1
2516,938639852311949312,938639852311949312,2017-12-07,fffeisty,Will the Sens ever score again?  ,"['#despair', '#hopelessness']",Will the Sens ever score again? #despair #hopelessness,1
2528,936491195706028032,936491195706028032,2017-12-01,bruceroller,": “he could not shake the fear that, if he extended his hand to the world, it would remain empty.”  ","['#wakinglions', '#hopelessness', '#advent1']","#WakingLions: “he could not shake the fear that, if he extended his hand to the world, it would remain empty.” #hopelessness #Advent1",1
2538,935627498632728578,935627498632728578,2017-11-28,dawngeisler1,Hope and glaciers recede the same way - slowly and undeniably.    ,"['#hopelessness', '#depression', '#sotired']",Hope and glaciers recede the same way - slowly and undeniably.  #hopelessness #depression #sotired,1
2554,934340622202392576,934340622202392576,2017-11-25,lostangel2016,"Everyday it gets harder. 
Everyday it gets more impossible. 
Everyday it's like a nightmare progressing on. 
Everyday is another prayer echohing from my bones 
     asking God to take me now. 
  ","['#despair', '#hopelessness', '#suicidal']","Everyday it gets harder. 
Everyday it gets more impossible. 
Everyday it's like a nightmare progressing on. 
Everyday is another prayer echohing from my bones 
     asking God to take me now. 
#despair #hopelessness #suicidal",1
2556,934128416198156289,934128416198156289,2017-11-24,saikyounohero,"They'll laugh at your  and call it ""Gallows Humor"".",['#hopelessness'],"They'll laugh at your #hopelessness and call it ""Gallows Humor"".",1
2583,931264246117056512,931264246117056512,2017-11-16,dulleytopbooks,@mcaffer62 Thanks! To all those suffering from  I have one message for you...Never forget that  does  you. He will never abandon you. He can be the Father you never had!,"['#hopelessness', '#god', '#love']",@mcaffer62 Thanks! To all those suffering from #hopelessness I have one message for you...Never forget that #God does #love you. He will never abandon you. He can be the Father you never had!,1
2585,931246797502103552,931246797502103552,2017-11-16,dulleytopbooks,To all those suffering from  I have one message for you...Never forget that  does  you. He will never abandon you. He can be the Father you never had!,"['#hopelessness', '#god', '#love']",To all those suffering from #hopelessness I have one message for you...Never forget that #God does #love you. He will never abandon you. He can be the Father you never had!,1
2591,930603628037136389,930603628037136389,2017-11-15,__justbekind__,"I’m really, really struggling today. I’m overwhelmed and feeling like my future is hopeless. I’m stuck. 
  ","['#thisiswhatanxietyfeelslike', '#depression', '#hopelessness']","I’m really, really struggling today. I’m overwhelmed and feeling like my future is hopeless. I’m stuck. 
#ThisIsWhatAnxietyFeelsLike #depression #hopelessness",1
2597,930019509750128640,930019509750128640,2017-11-13,biztruth1,WARNING: Being deprived of God’s joy will lead you to addictive carnal pleasure... Looking for Love in all the wrong places...! ,['#hopelessness'],WARNING: Being deprived of God’s joy will lead you to addictive carnal pleasure... Looking for Love in all the wrong places...! #HopeLessness,1
2601,929421599693987840,929421599693987840,2017-11-11,for_ffig,One of the hundreds of images to be included in our book. It truly expresses the  &  associated w  pic.twitter.com/nSwaxiptyG,"['#sadness', '#hopelessness', '#psychologicalabuse']",One of the hundreds of images to be included in our book. It truly expresses the #sadness & #hopelessness associated w #PsychologicalAbuse pic.twitter.com/nSwaxiptyG,1
2603,929196334397165568,929196334397165568,2017-11-11,yourimym1,"I've been denying this  of 
In me ","['#feeling', '#hopelessness', '#amylee']","I've been denying this #feeling of #hopelessness
In me #amylee",1
2617,928067426956271617,928067426956271617,2017-11-08,sassin4jesus," God will not give up on you ,don't give up on yourself. Proverbs 23:18 Surely there is a future,And your hope will not be cut off.",['#hopelessness'],"#Hopelessness God will not give up on you ,don't give up on yourself. Proverbs 23:18 Surely there is a future,And your hope will not be cut off.",1
